플랜트,위치,설비,고장 모드,고장 원인,고장 조치사항,작동시간,보수시간,상태플래그,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22-T,Column_23,Column_25
인천기지본부,2공장 소화해수펌프,000000000022204066,오동작/계기불량/작동불량,노후/장기사용,부품/자재 교체,447,93,F,,,,,,,,,,,,,,,
인천기지본부,2공장 소화해수펌프,000000000022204066,,,,47520,*,C,,,,,,,,,,,,,,,
통영기지본부,공통 소화방재설비,000000000022301707,,,,94872,*,C,,,,,,,,,,,,,,,
통영기지본부,공통 소화방재설비,000000000022301709,,,,8040,*,C,,,,,,,,,,,,,,,
통영기지본부,1공장 소화해수펌프,000000000022302276,,,,5856,*,C,,,,,,,,,,,,,,,
통영기지본부,1공장 소화해수펌프,000000000022302278,,,,24552,*,C,,,,,,,,,,,,,,,
통영기지본부,1공장 기화해수펌프,000000000022302282,접점불량/스파크발생 ,직접입력,직접입력,15284,140,F,,,,,,,,,,,,,,,
통영기지본부,1공장 기화해수펌프,000000000022302282,,,,71856,*,C,,,,,,,,,,,,,,,
통영기지본부,1공장 기화해수펌프,000000000022302283,,,,84672,*,C,,,,,,,,,,,,,,,
통영기지본부,1공장 기화해수펌프,000000000022302286,,,,87264,*,C,,,,,,,,,,,,,,,
통영기지본부,2공장 기화해수펌프,000000000022302290,,,,47016,*,C,,,,,,,,,,,,,,,
통영기지본부,1공장 소화해수펌프,000000000024014794,,,,83856,*,C,,,,,,,,,,,,,,,
통영기지본부,2공장 기화해수펌프,000000000024014795,,,,92616,*,C,,,,,,,,,,,,,,,
통영기지본부,2공장 기화해수펌프,000000000024014796,,,,48792,*,C,,,,,,,,,,,,,,,
통영기지본부,2공장 기화해수펌프,000000000024014797,,,,48792,*,C,,,,,,,,,,,,,,,
통영기지본부,2공장 기화해수펌프,000000000024014798,,,,48792,*,C,,,,,,,,,,,,,,,
제주기지본부,1공장 소화해수펌프,000000000024018323,진동/소음,설정값불량/점검불량,교정/조정/재설정 작업,2101,212,F,,,,,,,,,,,,,,,
제주기지본부,1공장 소화해수펌프,000000000024018323,,,,2280,*,C,,,,,,,,,,,,,,,
제주기지본부,공통 소화방재설비,000000000024018328,,,,4704,*,C,,,,,,,,,,,,,,,
제주기지본부,공통 소화방재설비,000000000024018329,,,,4704,*,C,,,,,,,,,,,,,,,
제주기지본부,공통 소화방재설비,000000000024018331,,,,4704,*,C,,,,,,,,,,,,,,,
제주기지본부,공통 소화방재설비,000000000024018332,,,,4704,*,C,,,,,,,,,,,,,,,
